publish_date,headline_text
20030502,govt generosity helps out of pocket arafura games
20030502,govt may send more troops to iraq adf
20030502,govts deadlocked on health funding
20030502,grain giants in talks
20030502,group sure of council interest in car park site
20030502,henry named writers player of the year
20030502,high hopes for onshore gas field
20030502,human shield to speak at may day rally
20030502,hunter economy powering along
20030502,imams call for peace at prayers in tense falluja
20030502,indias announcement a gesture of hope pakistan
20030502,japanese rookie grabs share of pga lead
20030502,journalists danger spots revealed
20030502,kiwis book cup tuneup friendly with us
20030502,krivtsov wins stage bertoletti protects overall
20030502,lakers beat t wolves to close out series
20030502,lara defends toss decision
20030502,lawyer welcomes release of report
20030502,luxury charter boat sinks off wa coast
20030502,magistrate reluctantly jails fishermen
20030502,mallorca could hinder undefeated real madrids half
20030502,man to face court over home invasion
20030502,man to face drug gun charges
20030502,market loses ground as banks resources slip
20030502,martyn out for windies series
20030502,martyn ruled out of windies one dayers
20030502,mayor confident of stanwell spin offs
20030502,mayor four others killed in sicily shooting
20030502,mayor to seek mining assurances
20030502,meeting hears mixed response to timber plan
20030502,melbourne club to host british open qualifier
20030502,melbourne golf club to host british open qualifier
20030502,melbourne world cup matches sealed
20030502,mexican killings linked to organ supply racket
20030502,mexican rookie italian surprise share lpga lead
20030502,minister airs youth shelter support concerns
20030502,molik cautious over dokic return
20030502,montgomery targets new record
20030502,more jobs go in wagga wagga
20030502,more support sought for festival
20030502,more than 60 injured in vietnam bus blast
20030502,mother and child flee burning house
20030502,mp still pushing for rail crossing overpass
20030502,nationals demand answers on shelved rail project
20030502,navy ship heads for albany
20030502,neverfail board urge rejection of coke takeover
20030502,neville out for three months
20030502,new ferrari makes slow start
20030502,n korea official aboard pong su downer
20030502,ojd concerns spark call for border closure
20030502,opponents to medicare reform meet
20030502,opposition accuses carr govt of threats and
20030502,panel to review big w submissions
20030502,pan recall costing mayne 20 million
20030502,parreira still winless as brazil held in mexico
20030502,patients to return to cunderdin hospital
20030502,permanent doctor for wagin
20030502,pm must intervene in health funding row ministers
20030502,police chief sacked as quake sparks riots
20030502,police chief sacked in turkish quake city
20030502,police happy with race day crowd behaviour
20030502,police seek help after hit and run
20030502,police seize drugs worth 3m in perth
20030502,power station contract workers to consider more
20030502,preparations underway for final go kart race
20030502,pressured pizzonia injures jaguar mechanic
20030502,pro hart excavator raises charity funds
20030502,promina float closed to retail investors
20030502,protesters target wmc shareholders
20030502,psa calls for 200 jobs in child protection
20030502,psychiatric evidence heard in stabbing trial
20030502,puplick quits amid abuse of power row
20030502,rafique stars with the ball for bangladesh
20030502,rebellin upsets zabel in henninger tower race
20030502,record crowds flock to agfest
20030502,report denies public complaints amid wood chip
20030502,report finds hollingworth should have shown more
20030502,river battle back to snatch victory over
20030502,rural advisory council members see drought impact
20030502,saddams doppelganger sought for stage
20030502,saleyards agreement promises good returns for
20030502,sars virus mutating hk researchers
20030502,sas indigenous community water supplies to get
20030502,schuettler on a roll in munich
20030502,search to continue for missing man
20030502,second alcohol knock back for service station
